id;name;link;specialization;films_years;description;path_to_folder
41180;Джонатан Джексон;https://www.kinopoisk.ru/name/17381;Актер,Режиссер,Сценарист,Композитор;35, 1993 — 2024;Грязные танцы 2: Гаванские ночи,На самом дне океана,На краю,Бессмертные,Бессонница,Нэшвилл,Парень познает мир,Сумеречная зона;actors_usa/41180
20159;Дженна Фишер;https://www.kinopoisk.ru/name/12869;Актриса,Продюсер,Режиссер,Сценарист;98, 1996 — 2024;Гигантский механический человек,Офис,Ты, я и конец света,Шоу 70−х,Клиент всегда мертв,Крученый город;actors_usa/20159
37380;Кит Мойер;https://www.kinopoisk.ru/name/223428;Актер,Продюсер;28, 1990 — 2021;;actors_usa/37380
25410;Кристина Вуд;https://www.kinopoisk.ru/name/1521422;Актриса,Продюсер,Художник;8, 2007 — 2019;Как это делается в Америке;actors_usa/25410
52393;Минди Робинсон;https://www.kinopoisk.ru/name/2479581;Актриса,Сценарист,Продюсер;160, 2000 — 2022;C.S.I. Место преступления;actors_usa/52393
22699;Илай Уоллак;https://www.kinopoisk.ru/name/3134;Актер,Продюсер;248, 1946 — 2022;Хороший, плохой, злой,Как украсть миллион,Крестный отец 3,Отпуск по обмену,Великолепная семерка,Христофор Колумб,Крестная мать 2,Скорая помощь,Студия 60 на Сансет Стрип,Veritas: В поисках истины;actors_usa/22699
2502;Гильермо Диас;https://www.kinopoisk.ru/name/9470;Актер,Продюсер,Режиссер;120, 1990 — 2023;Терминал,Шоссе,Скандал,Любовь кусается,Сопрано,Третья смена,Скорая помощь;actors_usa/2502
30683;Кристофер Денэм;https://www.kinopoisk.ru/name/584271;Актер,Сценарист,Режиссер,Продюсер;54, 1990 — 2023;Догмен,Остров проклятых,Оппенгеймер,Операция «Арго»,Манхэттен,Миллиарды,Позолоченный век,В поле зрения,Хорошая жена;actors_usa/30683
9951;Джон Херцог;https://www.kinopoisk.ru/name/1039775;Режиссер,Сценарист;2, 2003 — 2009;;actors_usa/9951
17555;Макс Казелла;https://www.kinopoisk.ru/name/9897;Актер,Продюсер;88, 1981 — 2023;Продавцы новостей,Эд Вуд,Дорога перемен,Анализируй это,Сержант Билко,Винил,Король Талсы,Исповедь,Сопрано,Удивительная миссис Мейзел;actors_usa/17555
12475;Эрин Эверхарт;https://www.kinopoisk.ru/name/6435995;Актриса;12, 1998 — 2015;;actors_usa/12475
14936;Тайлер Хилтон;https://www.kinopoisk.ru/name/567940;Актер;31, 2002 — 2022;Переступить черту,Холм одного дерева,Касл;actors_usa/14936
44742;Джон Бард Манулис;https://www.kinopoisk.ru/name/14659;Продюсер;22, 1962 — 2007;Мишка на Севере,Дневник баскетболиста,Дети свинга;actors_usa/44742
48590;Фред Уильямсон;https://www.kinopoisk.ru/name/11799;Актер,Режиссер,Продюсер,Сценарист,Монтажер;166, 1966 — 2022;Босс ниггер,От заката до рассвета,Военно-полевой госпиталь,Звездный путь,Мертвые до востребования,Пси Фактор: Хроники паранормальных явлений,Рыцарь дорог;actors_usa/48590
27895;Джордж Грэй;https://www.kinopoisk.ru/name/118124;Актер;48, 1985 — 2018;;actors_usa/27895
37386;Джиллиан Мюррэй;https://www.kinopoisk.ru/name/119175;Актриса,Продюсер;49, 2003 — 2023;Предчувствие,Реанимация,Дрейк и Джош,Ночная смена,Неуклюжая;actors_usa/37386
7481;Джеймс Дэвис;https://www.kinopoisk.ru/name/1054148;Актер;2, 2012 — 2012;;actors_usa/7481
25413;Рэйчел Харрис;https://www.kinopoisk.ru/name/31278;Актриса,Продюсер;155, 1992 — 2024;Мальчишник в Вегасе,Солист,Ральф,Люцифер,Друзья,Офис,Форс-мажоры,Конь БоДжек;actors_usa/25413
56347;Зен Геснер;https://www.kinopoisk.ru/name/2610;Актер,Продюсер;39, 1970 — 2024;Тупой и еще тупее,Я, снова я и Ирэн,Заводила,Осмосис Джонс,Приключения Синдбада,Друзья,Мыслить как преступник;actors_usa/56347
